Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
Locofast,2019,New Delhi,Textiles,"Locofast is the fastest-growing B2B textile marketplace connecting manufacturers and suppliers to brands, export & buying houses.","Deepak, Mohit Piplani","Chiratae, Stellaris","$15,000,000",Series A
Snapmint,2015,Mumbai,Financial Services,"At Snapmint, are eliminating the dependency on Credit Card and the hassle of physical documentation during loan applications, thereby making shopping a happy experience.","Nalin Agrawal, Anil Gelra, Abhineet Sawa, Rahul Agarwal","Negen Capital, Ramakant Sharma, Usama Fayyad","$9,000,000",Series A
Kuhoo,2021,Mumbai,Financial Services,"Kuhoo is a student loan fintech NBFC platform that aspires to democratise education for all, especially for households that belong to humble socio-economic backgrounds.",Prashant A. Bhonsle,West Bridge,"$20,000,000",Seed
RupeeRedee,2018,Gurgaon,Financial Services,"RupeeRedee a division of Digital Finance International (Finstar Financial Group), is a digital platform that helps customers borrow money for their short-term needs at the click of a button.",Jitin Bhasin,Digital Finance International,"$1,100,000",Series B
Strawcture Eco,2018,New Delhi,Building Materials,Strawcture Eco is a Green building material company commercialising 100% Sustainable products by compressed agri- fiber technology.,Shriti Pandey,"Social Alpha, Villgro Innovations Foundations, Brigade REAP","$375,000",Seed
WYLD,2022,Mumbai,Consumer Services,WYLD is a phygital payment card and mobile app exclusively designed for active social media users,Dishant Sanghvi,Better Capital,"$350,000",Pre-seed
Bebe Burp,2018,Surat,Food & Beverages,Bebe Burp is a company that has its core values embedded around helping working parents.,"Shruti Tibrewal, Bharat Tibrewal, Chirag Gupta","Mapro Foods, Ivy Growth Associates, Shreeji Brothers, Dholakia Ventures","$280,000",Seed
Prozo,2016,Noida,Logistics & Supply Chain,"Prozo is an 'e-commerce enabler & accelerator' for SMEs, D2C brands and Enterprises.",Ashvini Jakhar,Sixth Sense Ventures,"$10,000,000",Series A
Pocketly,2019,Bangalore,Financial Services,"Pocketly provides quick cash on hand, anytime - anywhere! For college students, and salaried people.","Aarav Bhatia, Navdeesh Ahuja",Dholakia Ventures,"$3,000,000",Pre-series A
Zapkey,2020,Mumbai,Real Estate,Zapkey is a home sale guarantee platform with a model that provides its customers with guaranteed home sales within 3 months of the listing date,"Shubhankar, Sandeep Reddy, Raja Seetharaman","Gruhas Proptech, DLF Family Office","2,000,000",Seed
Black Bow,2016,New Delhi,Wine & Spirits,"Black Bow is India's 1st Himalayan whisky by Ginglani Distillers, a homegrown alcobev startup with an aim to disrupt the Indian spirit scene by creating world-class local products.",Shivam Ginglani,"Supermorpheus, Eagle10 Ventures","$800,000",Pre-series A
Lobb,2015,Bangalore,Transportation/Trucking/Railroad,Lobb is the new way to match logistics Demand & Supply,"Jayaram Raju, Venu Kondur","3one4 Capital, Srinath Ramakkrushnan","$1,100,000",Pre-series A
Beatoven AI,2021,Bangalore,Computer Software,Beatoven AI is a simplified music creator tool that helps create music for videos and podcasts.,"Mansoor Rahimat Khan, Siddharth Bhardwaj",Redstart Labs,"$1,000,000",Seed
Ensologic,2019,New Delhi,International Trade & Development,Ensologic is India's numero uno cross border consumer goods e-commerce platform.,"Anil Agrawal, Kunal Jain","Indian Angel Network (IAN), Hyderabad Angels","$520,000",Seed
Eat Better Ventures,2020,Jaipur,Food & Beverages,Makes delicious healthy snacks and helps people eat better without compromising on taste.,"Mridula Kanoria, Shaurya Kanoria","Java Capital, Mumbai Angels","$700,000",Seed
AjnaLens,2014,Thane,Computer Hardware,AjnaLens presents the most comfortable and immersive mixed reality devices with solutions that deliver value instantly.,"Pankaj Raut, Abhishek Tomar, Abhijit Patil","Let's Venture Angel Fund, JITO Angel Network","$1,500,000",
Just Dogs,2011,Retail,Ahmedabad,Just Dogs is India’s largest specialty retailer of services and solutions for the lifetime needs of pets.,"Ashish, Poorvi Anthony",Sixth Sense Ventures,"$7,000,000",
Filo,2020,Haryana,E-learning,Filo is the world's fastest growing on-demand tutoring platform that connects students with India’s top 1% tutors in less than 60 seconds.,"Imbesat Ahmad, Shadman Anwer, Rohit Kumar",Anthos Capital,"$23,000,000",Series A
Pocket FM,2018,Bangalore,Audio OTT,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.","Nishanth KS, Prateek Dixit, Rohan Nayak","Goodwater Capital, Naver","$65,000,000",Series C
